,tweet,class,clean_tweet,target
1932,&#8220;@trayn1gga: Charlie Strong WILL have Texas back as a power&#8221; better power of big 12 is anybody's now,2,8220 charlie strong texas back power 8221 better power big 12 anybody,Neither
1933,&#8220;@tricethatruth_: Trap keep me fly that's why I love him &#10084; http://t.co/AleXGC24t4&#8221; ayyyyy you got that hoe at Forever 21 huh? &#128526;,1,8220 trap keep fly love 10084 ayyyyy got hoe forever 21 huh 128526,Offensive
1934,&#8220;@trillasfvck: all these bitches getting mommy money&#8221; niggas too.,1,8220 bitch getting mommy money 8221 nigga,Offensive
1935,"&#8220;@true_east_: That &#8220;6 God&#8221; by Drake is so trash, dawg.&#8221; Thank you ass water !!!&#128686;&#128686;&#128686;&#128686;",1,8220 east 8220 6 god 8221 drake trash dawg 8221 thank as water 128686 128686 128686 128686,Offensive
1936,"&#8220;@truuuchains: If you already out of school, fuck you I hate you and I hope you trip on the stage at graduation hoe&#8221;",1,8220 already school fuck hate hope trip stage graduation hoe 8221,Offensive
1937,&#8220;@ttevy_8: i want affection 24/7 but i also want to be left alone 24/7... do you see the issue here?&#8221;fag,0,8220 8 want affection 24 7 also want left alone 24 7 see issue 8221 fag,Hate
1938,&#8220;@tufflove1: show a lotta love to my sisters tho but these bitches so predictable.&#8221; Im in trouble,1,8220 show lotta love sister tho bitch predictable 8221 im trouble,Offensive
1939,&#8220;@uGOTTAeatTHEass: Niggas swear they love a honest bitch tho http://t.co/vastMFJphu&#8221; &#128514;&#128557;&#128514;&#128557;&#128514;&#128557; he salty bm,1,8220 nigga swear love honest bitch tho 128514 128557 128514 128557 128514 128557 salty bm,Offensive
1940,&#8220;@urHIGHnesss_: &#8220;@SMCo71: @urHIGHnesss_ &#128514; nah lemme chill i love the bitches&#8221;&#128557;&#128557; like trick love the kids&#8221; &amp; you know this &#128514;,1,8220 8220 128514 nah lemme chill love bitch 8221 128557 128557 like trick love kid 8221 know 128514,Offensive
1941,&#8220;@verkannt__: &#8220;@what_evaittakes: Nasty pay the bills bitch&#128540;&#8221;&#128524;&#128524;&#8221;&#128514;&#128514;&#128514;,1,8220 8220 evaittakes nasty pay bill bitch 128540 8221 128524 128524 8221 128514 128514 128514,Offensive
1942,"&#8220;@verkannt__: He told the bitch ""stop texting my phone my shawty crazy"" &#128524;&#128520;&#8221;glad he know &#128553;&#128553;&#128514;&#128514;",1,8220 told bitch stop texting phone shawty crazy 128524 128520 8221 glad know 128553 128553 128514 128514,Offensive
1943,&#8220;@verseunanswered: Did that bitch from Frozen ever let it go?&#8221; &#128514;&#128514;,1,8220 bitch frozen ever let go 8221 128514 128514,Offensive
1944,&#8220;@victoriag3618: So that history test made me its bitch &#128514;&#128542;&#8221; haha,1,8220 history test made bitch 128514 128542 8221 haha,Offensive
1945,&#8220;@vivaalakatyy: I just punched @victoriaaokk in the nose on accident because she just shocked the crap out of me &#128514;&#128514;&#128514;&#128514;&#8221; bitch that hurt!! &#128557;,1,8220 punched nose accident shocked crap 128514 128514 128514 128514 8221 bitch hurt 128557,Offensive
1946,&#8220;@wassssupsarah: Car hopping is a different world these ghetto guys tried asking for my number LOL&#8221; did they have to be ghetto Tho ?,2,8220 car hopping different world ghetto guy tried asking number lol 8221 ghetto tho,Neither
1947,&#8220;@waymoflydenu If you do tax fraud you bet not dare tweet about voting bitch&#8221;all of them tweeting they don't do politics,1,8220 tax fraud bet dare tweet voting bitch 8221 tweeting politics,Offensive
1948,"&#8220;@waymoflydenu Them Jew Lawyers and Doctors say ""Nigga"" ran? Lol&#8221;nope they say shit like queer though",1,8220 jew lawyer doctor say nigga ran lol 8221 nope say shit like queer though,Offensive
1949,&#8220;@waymoflydenu Why yall think its ok to be faggots?&#8221; and want us to be cool with them,0,8220 yall think ok faggot 8221 want u cool,Hate
1950,&#8220;@whiteboytatted: Dudes out here will try and fuck ya bitch behind ya back and tell you she aint good for ya&#8221; its happend,1,8220 dude try fuck ya bitch behind ya back tell aint good ya 8221 happend,Offensive
1951,"&#8220;@wizkhalifa: On the east coast there's colored hair everywhere. 

This must be the sweetest wave ever.&#8221; @LayaFace",2,8220 east coast colored hair everywhere must sweetest wave ever 8221,Neither
1952,&#8220;@wwwobert_: B Oreo a stunt&#8221;come thru &#128293;&#128293;&#128293;,2,8220 b oreo stunt 8221 come thru 128293 128293 128293,Neither
1953,&#8220;@xo_omiexo: not one single bone in my body gives a fuck about what the next bitch thinks. &#128581;&#128564;&#8221;,1,8220 omiexo one single bone body give fuck next bitch think 128581 128564 8221,Offensive
1954,"&#8220;@xoxo_hayleyy: ""@savageater: i think if my girlfriend were to get locked up shed be the first one raped.#pussy""really bitch&#9995;&#128530;&#8221;really swerve",1,8220 hayleyy think girlfriend get locked shed first one raped pussy really bitch 9995 128530 8221 really swerve,Offensive
1955,&#8220;@xoxo_laurenmane: Dumb ass bitches&#8221; @ me next time&#128075;,1,8220 laurenmane dumb as bitch 8221 next time 128075,Offensive
1956,&#8220;@yahhtriick: How do people even get crushes on me. Im like a total bitch.&#8221; &#128129;,1,8220 people even get crush im like total bitch 8221 128129,Offensive
1957,&#8220;@yeyo478: @Helenbabeey_ look at my benz bitch I've been the shit http://t.co/H0iXjZH0tZ&#8221;LMAOOO,1,8220 look benz bitch shit,Offensive
1958,"&#8220;@yohidef: cool story bitch, now pass the blunt&#8221; @EvanBecker513 bitch",1,8220 cool story bitch pas blunt 8221 bitch,Offensive
1959,"&#8220;@youngmintono: This girl stress me out , ion even have no hoes http://t.co/yPTxVbb3SK&#8221; shit I be saying lol",1,8220 girl stress ion even hoe shit saying lol,Offensive
1960,&#8220;@yungtfti: I feel sorry for anyone who paid for LIC because edc is trash music&#8221;,2,8220 feel sorry anyone paid lic edc trash music 8221,Neither
1961,&#8220;@zekedafreekk: Queen Latifah the only dyke id contemplate fucking.. Rns&#8221;wait...,1,8220 queen latifah dyke id contemplate fucking rn 8221 wait,Offensive
1962,&#8220;@zooyorkinit: @whattheflocka lol love you ;)&#8221; little bitch,1,8220 lol love 8221 little bitch,Offensive
1963,&#8220;@zooyorkinit: When u want a cig but ur lovey gf won't go get them #potato ;) @whattheflocka&#8221; guilt trip city lil bitch,1,8220 want cig ur lovey gf go get potato 8221 guilt trip city lil bitch,Offensive
1964,&#8220;@zt0mm: Traded in my nikes for a new mic.. I guess it's safe to say he sold soles for his new life ... -bada$$&#8221;,2,8220 traded nike new mic guess safe say sold sol new life bada 8221,Neither
1965,"&#8220;There is a time &amp; a place 4 decaf coffee. Never &amp; in the trash."" http://t.co/ZVJROXgNDQ&#8221; #MommyMonday humor via @JenerationPR &amp; @theskimm",2,8220 time place 4 decaf coffee never trash mommymonday humor via,Neither
1966,&#9733; BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA &#9733;718-622-0221 - 24 http://t.co/6ZUxaQeaVL,2,9733 best asian massage brooklyn park slope top rated spa 9733 718 622 0221 24,Neither
1967,&#9733; BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA &#9733;718-622-0221 - 24 http://t.co/ENSNf9RGPH,2,9733 best asian massage brooklyn park slope top rated spa 9733 718 622 0221 24,Neither
1968,&#9733; BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA &#9733;718-622-0221 - 24 http://t.co/saWpjDtIGN,2,9733 best asian massage brooklyn park slope top rated spa 9733 718 622 0221 24,Neither
1969,&#9733; BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA &#9733;718-622-0221 - 24 http://t.co/thXm7Hjo07,2,9733 best asian massage brooklyn park slope top rated spa 9733 718 622 0221 24,Neither
1970,&#9733; BEST ASIAN MASSAGE ON THE Brooklyn Park slope --TOP RATED SPA &#9733;718-622-0221 - 24 http://t.co/yRfdaIooYZ,2,9733 best asian massage brooklyn park slope top rated spa 9733 718 622 0221 24,Neither
1971,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/1xTCOome3v,2,9733 best asian massage park slope top rated spa 9733 718 622 0221 24,Neither
1972,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/8KUzaPFCMF,2,9733 best asian massage park slope top rated spa 9733 718 622 0221 24,Neither
1973,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/Br7el4ZXrw,2,9733 best asian massage park slope top rated spa 9733 718 622 0221 24,Neither
1974,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/McOZNHt7N2,2,9733 best asian massage park slope top rated spa 9733 718 622 0221 24,Neither
1975,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/Nkvy9nwyzj,2,9733 best asian massage park slope top rated spa 9733 718 622 0221 24,Neither
1976,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/TQS3wPA6O7,2,9733 best asian massage park slope top rated spa 9733 718 622 0221 24,Neither
1977,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/ZsAAzFL0p5,2,9733 best asian massage park slope top rated spa 9733 718 622 0221 24,Neither
1978,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/dyYvrEJAm3,2,9733 best asian massage park slope top rated spa 9733 718 622 0221 24,Neither
1979,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/gPbi04YoBq,2,9733 best asian massage park slope top rated spa 9733 718 622 0221 24,Neither
1980,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/iuCRWOfDts,2,9733 best asian massage park slope top rated spa 9733 718 622 0221 24,Neither
1981,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/mLFuCqIIFA,2,9733 best asian massage park slope top rated spa 9733 718 622 0221 24,Neither
1982,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/pxwlZkWaCs,2,9733 best asian massage park slope top rated spa 9733 718 622 0221 24,Neither
1983,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/sPVogfyXZT,2,9733 best asian massage park slope top rated spa 9733 718 622 0221 24,Neither
1984,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/u3PzeV9E9q,2,9733 best asian massage park slope top rated spa 9733 718 622 0221 24,Neither
1985,&#9733;@&#9733;@&#9733;@&#9733;@&#9733; GRAND OPENING ! &#9733;@&#9733;@&#9733;@&#9733;@&#9733; TOP CLASS &#9733; Oriental Massage &#9733; PERFECT !&#9733; http://t.co/2POFGc7ohC,2,9733 9733 9733 9733 9733 grand opening 9733 9733 9733 9733 9733 top class 9733 oriental massage 9733 perfect 9733,Neither
1986,&#9733;@&#9733;@&#9733;@&#9733;@&#9733; GRAND OPENING ! &#9733;@&#9733;@&#9733;@&#9733;@&#9733; TOP CLASS &#9733; Oriental Massage &#9733; PERFECT !&#9733; http://t.co/FhGqF0RWBE,2,9733 9733 9733 9733 9733 grand opening 9733 9733 9733 9733 9733 top class 9733 oriental massage 9733 perfect 9733,Neither
1987,&#9733;@&#9733;@&#9733;@&#9733;@&#9733; GRAND OPENING ! &#9733;@&#9733;@&#9733;@&#9733;@&#9733; TOP CLASS &#9733; Oriental Massage &#9733; PERFECT !&#9733; http://t.co/K2iBFLgs4Z,2,9733 9733 9733 9733 9733 grand opening 9733 9733 9733 9733 9733 top class 9733 oriental massage 9733 perfect 9733,Neither
1988,&#9733;@&#9733;@&#9733;@&#9733;@&#9733; GRAND OPENING ! &#9733;@&#9733;@&#9733;@&#9733;@&#9733; TOP CLASS &#9733; Oriental Massage &#9733; PERFECT !&#9733; http://t.co/O8JoZOKFEI,2,9733 9733 9733 9733 9733 grand opening 9733 9733 9733 9733 9733 top class 9733 oriental massage 9733 perfect 9733,Neither
1989,&#9733;@&#9733;@&#9733;@&#9733;@&#9733; GRAND OPENING ! &#9733;@&#9733;@&#9733;@&#9733;@&#9733; TOP CLASS &#9733; Oriental Massage &#9733; PERFECT !&#9733; http://t.co/zibllnm1ZS,2,9733 9733 9733 9733 9733 grand opening 9733 9733 9733 9733 9733 top class 9733 oriental massage 9733 perfect 9733,Neither
1990,&#9733;@&#9733;@&#9733;@&#9733;@&#9733; GRAND OPENING ! &#9733;@&#9733;@&#9733;@&#9733;@&#9733; TOP CLASS &#9733; Oriental Massage &#9733; PERFECT !&#9733;/ http://t.co/4Hhxk9MKHe,2,9733 9733 9733 9733 9733 grand opening 9733 9733 9733 9733 9733 top class 9733 oriental massage 9733 perfect 9733,Neither
1991,&#9733;@&#9733;@&#9733;@&#9733;@&#9733; GRAND OPENING ! &#9733;@&#9733;@&#9733;@&#9733;@&#9733; TOP CLASS &#9733; Oriental Massage &#9733; PERFECT !&#9733;/ http://t.co/dMXPLroaJ2,2,9733 9733 9733 9733 9733 grand opening 9733 9733 9733 9733 9733 top class 9733 oriental massage 9733 perfect 9733,Neither
1992,&#9733;@&#9733;@&#9733;@&#9733;@&#9733; GRAND OPENING ! &#9733;@&#9733;@&#9733;@&#9733;@&#9733; TOP CLASS &#9733; Oriental Massage &#9733; PERFECT !&#9733;/ http://t.co/ydZYr4dVS4,2,9733 9733 9733 9733 9733 grand opening 9733 9733 9733 9733 9733 top class 9733 oriental massage 9733 perfect 9733,Neither
1993,&#9889;&#65039;&#9889;&#65039; why lie you're my nigguh &#128526;,1,9889 65039 9889 65039 lie nigguh 128526,Offensive
1994,&#9996;&#65039; out bitch I'm winning &#128526; http://t.co/k3l15zoBGz,1,9996 65039 bitch winning 128526,Offensive
1995,&amp; I MOST DEFIANTLY WILL NOT let no bitch who FW a nigga I ALREADY HAD get the best out of me &#128514;&#128557; Fuccin wit my Hand-Me-Downs &amp; shit,1,defiantly let bitch fw nigga already get best 128514 128557 fuccin wit hand down shit,Offensive
1996,"&amp; I keep that bitch on me , it's part of my fashion 
So nigga see me when you see me , catch me in traffic",1,keep bitch paof fashion nigga see see catch traffic,Offensive
1997,&amp; These bitches bound to get hurt cause a lot of these niggas be playing,1,bitch bound get hucause lot nigga playing,Offensive
1998,&amp; fuck your bitch,1,fuck bitch,Offensive
1999,&amp; ion have a bitch. So yeah. What's understood don't need to be explained.,1,ion bitch yeah understood need explained,Offensive
2000,"&amp; my sister is really going to fucken deny it but yet sprays the room with febreeze , like really bitch why are you going to deny it",1,sister really going fucken deny yet spray room febreeze like really bitch going deny,Offensive
2001,&amp; this bitch ask me why my jeans sag cuz they tryna hold my bandz up &#128176;,1,bitch ask jean sag cuz tryna hold bandz 128176,Offensive
2002,"&amp; thots are wearing Uggs RT @BigBootyJudy814: #ItsFallBecause negros are pulling out their Timbs""",2,thots wearing uggs itsfallbecause negro pulling timbs,Neither
2003,&amp;&amp; some of you hoes too... http://t.co/yJPSMAS4k2,1,hoe,Offensive
2004,&amp;&amp; when Tha bitches start hating &#128553;&#128553;&#128129; that's wen a bitch lost me &#128588;&#128168;&#128591;&#128175;&#9996;&#65039;&#128581;&#128064;,1,tha bitch stahating 128553 128553 128129 wen bitch lost 128588 128168 128591 128175 9996 65039 128581 128064,Offensive
2005,&amp;&amp;' hoes round here just opening legs like Walmart doors,1,hoe round opening leg like walmadoors,Offensive
2006,&amp;when they say him they mean dyke Ron #wcw http://t.co/VV4DUMMe4A,0,say mean dyke ron wcw,Hate
2007,&gt;Mfw some rachet ass hoe drops some scripture or religious stuff on social media http://t.co/9ZDsKU0lbo,1,mfw rachet as hoe drop scripture religious stuff social medium,Offensive
2008,&gt;_&lt;.. RT @ItsTheBOOMshow @FricknAwesome metal monkey balls!,1,metal monkey ball,Offensive
2009,&lt;&lt;&lt;&lt;&lt;&lt;when bitches be doing too much on twitter,1,bitch much twitter,Offensive
2010,&lt;&lt;&lt;when it's yellow outside,2,yellow outside,Neither
2011,&lt;-- nudes are trash,2,nude trash,Neither
2012,"' All jokes aside , I'm goin thru it a niggah heart hurt smh . &#1043214; .",1,joke aside goin thru niggah heahusmh 1043214,Offensive
2013,' All the hoes loyal &#1041205;&#1041205;&#1043358;&#1043215;,1,hoe loyal 1041205 1041205 1043358 1043215,Offensive
2014,"' And you know that I believe it , cause her pussy to mee... &#1041185;&#1041240; And she don't fuck with many niggahs , she don't fuck with any niggahs &#1041219; .",1,know believe cause pussy mee 1041185 1041240 fuck many niggahs fuck niggahs 1041219,Offensive
2015,"' Annnie say fuck that niggah , he soo weak ! &#1041204; He can't tell that you a freak &#1041196; That you ain't lookin for love .... http://t.co/62URiSgiQ1",1,annnie say fuck niggah soo weak 1041204 tell freak 1041196 lookin love,Offensive
2016,' August Alsina Deserved that &#1043323;&#1043323;&#1043358; My niggah .,1,august alsina deserved 1043323 1043323 1043358 niggah,Offensive
2017,"' Baby moanin.... Got me zone'nn , I want this bitch next too me.... Pussy like ecstasy &#1043291;&#1041185; .",1,baby moanin got zone nn want bitch next pussy like ecstasy 1043291 1041185,Offensive
2018,"' Babyy moaaaanin &#1041219;&#1041222; Got me zone'nn...... I want this bitch next to me , pussy like ecstasy &#1043215; .",1,babyy moaaaanin 1041219 1041222 got zone nn want bitch next pussy like ecstasy 1043215,Offensive
2019,' Beat the pussy up till its red like rosters and after I fuck I get to moovin like the hoovas &#1040784;&#9996;&#65039; .,1,beat pussy till red like roster fuck get moovin like hoovas 1040784 9996 65039,Offensive
2020,' Being in love stressful ma niggah .,1,love stressful niggah,Offensive
2021,' Bitch caught a body about a week ago ! Fuck with us and we get to tweekin hoe ! Run up on that niggah get to... http://t.co/av9YPjtwxn,1,bitch caught body week ago fuck u get tweekin hoe run niggah get,Offensive
2022,' Broke Tf outta this niggah at 24 &#1041204;&#1041204;&#1041204; He stopped playen defense and all,1,broke tf outta niggah 24 1041204 1041204 1041204 stopped playen defense,Offensive
2023,' Cause these hoes ain't loyal ! And niggahs ain't either ! When it go down you callin for hittas that you ain't... http://t.co/hj8GAfFZaM,1,cause hoe loyal niggahs either go callin hittas,Offensive
2024,"' Cause these hoes ain't loyal ! These niggas ain't either &#1041233; , when it go down you callin for hitters that you... http://t.co/wmrUwTwuJE",1,cause hoe loyal nigga either 1041233 go callin hitter,Offensive
2025,"' Club solo 1 deep , fuck a valet cause I parked on the street , lordddd knows &#1041243; You can't trust these hoes ,... http://t.co/WcD3V5sej2",1,club solo 1 deep fuck valet cause parked street lordddd know 1041243 trust hoe,Offensive
2026,"' Don't ask me if I'm in my "" Feelings "" cause I ain't no bitch I don't got those Tf . I'm sad , not in no fucking feelings .",1,ask feeling cause bitch got tf sad fucking feeling,Offensive
2027,' Don't sleep on ma niggah CHood &#128076; @CharleyHood &#128175;&#128175;,0,sleep niggah chood 128076 128175 128175,Hate
2028,' Elza M. Jones Was whipppppppen and drifting last night lol we was tu this ma niggah http://t.co/wAqAmR4BGU,1,elza jones whipppppppen drifting last night lol tu niggah,Offensive
2029,"' Entertain a flirtin ass niggah if you want too , That's gon be yo niggah friendly ass . &#9996;&#65039;",1,entertain flirtin as niggah want gon yo niggah friendly as 9996 65039,Offensive
2030,"' From Freshman Year to Senior year , this really my niggah started being brothers 4 years ago TODAY . It's crazy... http://t.co/IIHcPFiyQu",1,freshman year senior year really niggah started brother 4 year ago today crazy,Offensive
2031,' Fuccccck that was ma niggah from Cali swag &#1041222;&#1041216; R.I.P Jayare .,1,fuccccck niggah cali swag 1041222 1041216 p jayare,Offensive
2032,' Fuck her right in the pussy &#1041204;&#1041204;&#1041204;&#1041204;,1,fuck right pussy 1041204 1041204 1041204 1041204,Offensive
2033,' Fucking on the first night don't make you a hoe &#9995; .,1,fucking first night make hoe 9995,Offensive
2034,"' Get some head off Twitter now niggahs that's bracken &#1041204;&#1041204; ima baby momma killa , yo bitch she can get it &#1043359; You... http://t.co/FAkEs1z2Wl",1,get head twitter niggahs bracken 1041204 1041204 ima baby momma killa yo bitch get 1043359,Offensive
2035,' Got niggahs salty at meeeee cause yo dream bitch is ma main slide &#1041204;&#1041223;&#1041196;,1,got niggahs salty meeeee cause yo dream bitch main slide 1041204 1041223 1041196,Offensive
2036,' Happppppy Birthdayyyy &#1041191;&#1041196;&#1043215; lol . Niggahs is really 21 in this bitch &#1043358;&#1041219; . http://t.co/YatU7pbsHX,0,happppppy birthdayyyy 1041191 1041196 1043215 lol niggahs really 21 bitch 1043358 1041219,Hate
2037,' Happy birthday to my main niggah right here &#1041240;&#1043358;&#1043359;&#1043323;&#1041681;&#1041636;&#1041629; We been at it for a minute same dreams of bein rich and we... http://t.co/Oy4x1yXHZe,1,happy birthday main niggah right 1041240 1043358 1043359 1043323 1041681 1041636 1041629 minute dream bein rich,Offensive
2038,' Hate a female that got the mentality of a niggah .,1,hate female got mentality niggah,Offensive
2039,' Have you ever had sex ina cherry red vet witha fat trap Niggah keep that pussy sooo wet &#1043359;&#1043291;&#1041185; .,1,ever sex ina cherry red vet witha fat trap niggah keep pussy sooo wet 1043359 1043291 1041185,Offensive
2040,"' Hoes on my mind , I fuck hoes all the time . #FatTrel",1,hoe mind fuck hoe time fattrel,Offensive
2041,"' I ain't trippen cause I like her anyways , she got a niggah and I got a girl but anyways , yea anyways &#1041196;",1,trippen cause like anyways got niggah got girl anyways yea anyways 1041196,Offensive
2042,' I ain't trippen off you no mo &#1041204;&#9995; I done dropped you &#1043360; Knocked 4owe &#1043359; I could Neva be a foo for a hoe &#1043357;&#1043357; I put... http://t.co/GAIElrPDIK,1,trippen mo 1041204 9995 done dropped 1043360 knocked 4owe 1043359 could neva foo hoe 1043357 1043357 put,Offensive
2043,"' I don't like when niggahs be like "" where yo bitch at ? "" Na I'll check you on that idc who you is , mine you... http://t.co/OP5sTgZX2k",1,like niggahs like yo bitch na check idc mine,Offensive
2044,"' I fw these niggahs everyday , Neva changed up , always been the same to a niggah . Been thru shit with ma niggahs .",1,fw niggahs everyday neva changed always niggah thru shit niggahs,Offensive
2045,"' I guess a niggah just believe in ya that's proof for ya , can name a lot of things any other man wont do for ya... http://t.co/OTvw1vlDPY",1,guess niggah believe ya proof ya name lot thing man wont ya,Offensive
2046,"' I hate a "" Guesss who just tried to talk to mee "" ass bitch &#1041190;&#9995;&#9996;&#65039;",1,hate guess tried talk mee as bitch 1041190 9995 9996 65039,Offensive
2047,"' I just feel like my mouthpiece so cold &#1041185; I'll give lessons to every niggah that ever got turned down , for the low cost of $24.99 &#1043358; Hmu .",1,feel like mouthpiece cold 1041185 give lesson every niggah ever got turned low cost 24 99 1043358 hmu,Offensive
2048,"' I know I Know I know . Them streets they fuck with me strong , and them bitches gon fuck just because money... http://t.co/odtcHpD5G7",1,know know know street fuck strong bitch gon fuck money,Offensive
2049,"' I rather jack off then fuck hoes tbh , That shit boring give me a wife .",1,rather jack fuck hoe tbh shit boring give wife,Offensive
2050,"' I really don't give a fuck . Once you start that "" You got hoes , you fuck with bitches "" shit I'm deleting yo... http://t.co/ylvtlUZsi0",1,really give fuck stathat got hoe fuck bitch shit deleting yo,Offensive
2051,' I still don't got the time for a bitch to be actin iffy &#1043323; .,1,still got time bitch actin iffy 1043323,Offensive
2052,"' I thinkkk shee knows , about , maaaa otheeeeeeeer bitch &#1041219; .",1,thinkkk shee know maaaa otheeeeeeeer bitch 1041219,Offensive
2053,"' I told this niggah Maya Angelo died.... This niggah gon ask me "" is that the Red Ninja Turtle ? &#1041204;&#1043473;&#1043357; Wtf .",1,told niggah maya angelo died niggah gon ask red ninja turtle 1041204 1043473 1043357 wtf,Offensive
2054,"' I took the bitch down In the set , yo bitch get around in the set , I dicked the bitch down in the set , yo... http://t.co/PlByuQgerG",1,took bitch set yo bitch get around set dicked bitch set yo,Offensive
2055,' I will never date a female with another niggah name on her lol . Wtf .,1,never date female another niggah name lol wtf,Offensive
2056,' I wonder if you females out here ever just sit around and think bout how yall hoes or how unfaithful Yall really is .,1,wonder female ever sit around think bout yall hoe unfaithful yall really,Offensive
2057,' I wouldn't bring my girl around nobody but Leo &#1041204;&#1041204;&#9995; He the only niggah I KNOW that wouldn't mess with any of the... http://t.co/LWDxrVJceu,1,bring girl around nobody leo 1041204 1041204 9995 niggah know mess,Offensive
2058,"' I'm hard to kill &#1041653; , I'm countin cake up with ma finest bitch &#1041636;&#1041636; . Take off her makeup and she still look like a finalist &#1041191;&#1043359; .",1,hard kill 1041653 countin cake finest bitch 1041636 1041636 take makeup still look like finalist 1041191 1043359,Offensive
2059,"' I'm not gon ever be that niggah that hit 300 likes on every picture , but I get WHOEVER I WANT PERIOD . &#1041204;&#1043323;&#1041196;... http://t.co/mKgRljrHcl",1,gon ever niggah hit 300 like every picture get whoever want period 1041204 1043323 1041196,Offensive
2060,' I'm that niggah you can show out in public babbbbbbyyyy &#1041191;&#1043215; lol,1,niggah show public babbbbbbyyyy 1041191 1043215 lol,Offensive
2061,' Id rather sit at the house all day and jack off then bust a mission to literally only chill with a bitch &#1041204;&#1043473;... http://t.co/MEtM60bG15,1,id rather sit house day jack bust mission literally chill bitch 1041204 1043473,Offensive
2062,' Idk why niggah give a female head then throw a condom on lmaooo niggah you already ate the whole STD &#1041204;&#1041204;,1,idk niggah give female head throw condom lmaooo niggah already ate whole std 1041204 1041204,Offensive
2063,"' If I ever put ma trust ina bitch , I'll always be hurt ! &#1043323;&#1043323;",1,ever put trust ina bitch always hu 1043323 1043323,Offensive
2064,"' If I ever put my trust ina bitch , I'll always be hurt &#1041204;&#1041204; .",1,ever put trust ina bitch always hu 1041204 1041204,Offensive
2065,"' If this ugly ass niggah can be with her , I can too . Tf she with Chuu Baka for anyways this niggah look like a... http://t.co/lVNDRDPpQT",0,ugly as niggah tf chuu baka anyways niggah look like,Hate
2066,"' If yo new niggah can't dress better then me , or even close to looking better then me , dnt try to make me... http://t.co/SMsc86mnBc",1,yo new niggah dress better even close looking better dnt try make,Offensive
2067,"' If you get yo girl took don't be mad at the niggah who did it &#1041204; Be mad at her , Cause he don't owe you loyalty , she does .",1,get yo girl took mad niggah 1041204 mad cause owe loyalty,Offensive
2068,"' Ima kill that pussy straight murder that shit , and Ima eat it , eat it , eat it &#1043291;&#1040788; And lick it till it slaps . Aye &#1041237;&#1041191; .",1,ima kill pussy straight murder shit ima eat eat eat 1043291 1040788 lick till slap aye 1041237 1041191,Offensive
2069,"' Ima pull up , eat on that pussy and dip &#1041219;&#9996;&#65039; ,",1,ima pull eat pussy dip 1041219 9996 65039,Offensive
2070,' Ima real young niggah witha muhhfuckin attitude &#1043359; Walk up I'm yo spot you would think a niggah mad at you .,1,ima real young niggah witha muhhfuckin attitude 1043359 walk yo spot would think niggah mad,Offensive
2071,"' Ima young rich niggah Tryna fuck a niggah bitch , My ex a rat the Naybahoods be fuckin on that bitch &#1041204;&#1041204; , I... http://t.co/hFnSbuPwma",1,ima young rich niggah tryna fuck niggah bitch ex rat naybahoods fuckin bitch 1041204 1041204,Offensive
2072,"' Indiana niggah you can tell from ma muhhfuckin grammar , I swear I got 3 hoes with me just like I'm Santa &#1041204;&#1043359; .",1,indiana niggah tell muhhfuckin grammar swear got 3 hoe like santa 1041204 1043359,Offensive
2073,' Is this Jody ? The niggah that got ma Boo Pregnant ? The niggah that can't take responsibilities as a... http://t.co/7ufNJ2NJhp,1,jody niggah got boo pregnant niggah take responsibility,Offensive
